city,mon,avg_star,avg_review_count,restaurant_number
Philadelphia,11-2021,3.964019851,574.0145,1227
Philadelphia,12-2019,3.904130871,568.0735,1746
Philadelphia,12-2020,3.96645796,462.5877,1164
Philadelphia,12-2021,3.971570831,558.9309,1272
Saint Louis,01-2019,3.862098138,469.6667,489
Saint Louis,01-2020,3.930167597,447.3184,435
Saint Louis,01-2021,3.955438066,413.4305,319
Saint Louis,01-2022,3.935622317,418.9442,267
Saint Louis,02-2019,3.864181662,448.1337,468
Saint Louis,02-2020,3.90405904,460.8856,438
Saint Louis,02-2021,3.968490878,409.2139,315
Saint Louis,03-2019,3.857996018,472.8613,533
Saint Louis,03-2020,3.967964824,473.8832,377
Saint Louis,03-2021,3.869785082,442.1479,363
Saint Louis,04-2019,3.892804698,513.0778,504
Saint Louis,04-2020,3.945987654,415.284,218
Saint Louis,04-2021,3.862857142,428.4446,370
Saint Louis,05-2019,3.870333333,504.254,514
Saint Louis,05-2020,3.817351598,376.1484,264
Saint Louis,05-2021,3.913542926,486.8646,357
Saint Louis,06-2019,3.864972443,523.3411,537
Saint Louis,06-2020,3.899193548,399.3387,333
Saint Louis,06-2021,3.875813449,431.0553,389
Saint Louis,07-2019,3.89516129,513.1835,574
Saint Louis,07-2020,3.83242134,387.9781,359
Saint Louis,07-2021,3.897621509,474.1324,385
Saint Louis,08-2019,3.905665887,516.2728,542
Saint Louis,08-2020,3.855042016,415.4496,360
Saint Louis,08-2021,3.918131868,447.0989,383
Saint Louis,09-2019,3.88453159,482.2077,503
Saint Louis,09-2020,3.944680851,473.3319,341
Saint Louis,09-2021,3.873619631,471.6933,343
Saint Louis,10-2019,3.907796101,525.9423,488
Saint Louis,10-2020,3.872124492,460.452,340
Saint Louis,10-2021,3.876013904,443.4067,380
Saint Louis,11-2019,3.918861512,479.3517,461
Saint Louis,11-2020,3.929032258,442.3048,328
Saint Louis,11-2021,3.92446524,435.7099,359
Saint Louis,12-2019,3.885317115,486.0417,473
Saint Louis,12-2020,3.903759398,412.2586,331
Saint Louis,12-2021,3.933884297,377.2255,396
Tampa,01-2019,3.896727748,490.2733,1025
Tampa,01-2020,3.904986318,413.7498,1008
Tampa,01-2021,4,402.0073,933
Tampa,01-2022,3.949662542,408.7835,770
Tampa,02-2019,3.891853533,459.2242,1009
Tampa,02-2020,3.930204572,450.2771,985
Tampa,02-2021,3.957810718,407.4265,904
Tampa,03-2019,3.884870096,469.8255,1075
Tampa,03-2020,3.962387387,425.9221,817
Tampa,03-2021,3.967946631,439.2974,977
Tampa,04-2019,3.913619871,452.7954,996
Tampa,04-2020,3.938297872,343.7681,540
Tampa,04-2021,3.936218282,403.5207,956
Tampa,05-2019,3.895361527,447.3763,1026
Tampa,05-2020,3.961281708,373.4299,698
Tampa,05-2021,3.932692307,402.9993,943
Tampa,06-2019,3.892967145,442.5059,1053
Tampa,06-2020,3.971188169,394.464,800
Tampa,06-2021,3.936479772,400.3006,941
Tampa,07-2019,3.892661269,431.9577,1054
Tampa,07-2020,3.966819221,391.7108,862
Tampa,07-2021,3.950152078,409.413,958
Tampa,08-2019,3.927929193,450.6651,1022
Tampa,08-2020,3.979122733,417.9852,871
Tampa,08-2021,3.966502649,396.8872,956
Tampa,09-2019,3.877527723,424.9798,1000
Tampa,09-2020,3.985983263,440.0393,846
Tampa,09-2021,3.967042497,405.0785,899
Tampa,10-2019,3.930344626,420.5675,1024
Tampa,10-2020,3.977857444,371.9975,883
Tampa,10-2021,3.917464114,396.1547,912
Tampa,11-2019,3.909442204,402.5944,986
Tampa,11-2020,3.961229946,417.4064,857
Tampa,11-2021,3.932025547,425.7007,855
Tampa,12-2019,3.908376963,419.5295,969
Tampa,12-2020,3.994350282,380.6054,868
Tampa,12-2021,3.91400156,424.188,909
Tucson,01-2019,3.797891675,338.2421,869
Tucson,01-2020,3.839135654,328.1012,821
Tucson,01-2021,3.844155844,297.375,726
Tucson,01-2022,3.826530612,298.409,588
Tucson,02-2019,3.792359391,349.3753,883
Tucson,02-2020,3.848741074,324.8177,868
Tucson,02-2021,3.877270225,300.2702,725
Tucson,03-2019,3.802597402,341.3205,935
Tucson,03-2020,3.830699774,311.4808,764
Tucson,03-2021,3.802351375,310.7258,817
Tucson,04-2019,3.799499229,341.1425,870
Tucson,04-2020,3.73876698,263.9843,515
Tucson,04-2021,3.822781774,317.5635,764
Tucson,05-2019,3.790130568,331.4209,881
Tucson,05-2020,3.768634686,278.5594,645
Tucson,05-2021,3.809134615,298.6048,769
Tucson,06-2019,3.791329904,321.5287,908
Tucson,06-2020,3.767010309,278.8495,670
Tucson,06-2021,3.821041774,310.361,750
Tucson,07-2019,3.761674718,341.5886,854
Tucson,07-2020,3.809570957,288.6007,681
Tucson,07-2021,3.838227442,290.6588,760
Tucson,08-2019,3.783339559,329.3388,858
Tucson,08-2020,3.810365853,299.7707,711
Tucson,08-2021,3.800495321,288.6142,721
Tucson,09-2019,3.796694214,327.8264,856
Tucson,09-2020,3.839308176,307.3572,659
Tucson,09-2021,3.807765754,309.4774,698
Tucson,10-2019,3.817052631,318.0223,817
Tucson,10-2020,3.824956165,317.4506,722
Tucson,10-2021,3.844657534,312.2323,749
Tucson,11-2019,3.803724928,322.0759,799
Tucson,11-2020,3.84090909,298.3792,669
Tucson,11-2021,3.854783599,299.1771,734
Tucson,12-2019,3.809103576,323.3047,827
Tucson,12-2020,3.842857142,292.0825,689
Tucson,12-2021,3.825786858,294.392,759
Reno,01-2019,3.818706221,428.4705,552
Reno,01-2020,3.825483391,415.9425,538
Reno,01-2021,3.934941967,384.0006,471
Reno,01-2022,3.879980079,375.5199,406
Reno,02-2019,3.826683937,427.9347,529
Reno,02-2020,3.87761194,416.0627,546
Reno,02-2021,3.960526315,397.2285,446
Reno,03-2019,3.89390142,424.7393,567
Reno,03-2020,3.946861626,409.689,473
Reno,03-2021,3.929652466,400.148,503
Reno,04-2019,3.866105769,436.2476,534
Reno,04-2020,3.837438423,327.5813,346
Reno,04-2021,3.943037974,406.0242,518
Reno,05-2019,3.86287398,442.1641,551
Reno,05-2020,3.854462474,363.2779,373
Reno,05-2021,3.916309012,382.0676,503
Reno,06-2019,3.848794906,439.2428,561
Reno,06-2020,3.918298446,430.8481,455
Reno,06-2021,3.900504484,398.1071,488
Reno,07-2019,3.842930812,430.9136,561
Reno,07-2020,3.903953229,408.8396,497
Reno,07-2021,3.913096397,399.4085,523
Reno,08-2019,3.872151898,419.0937,578
Reno,08-2020,3.911266783,421.6562,468
Reno,08-2021,3.900837257,387.3469,523
Reno,09-2019,3.84179033,416.719,573
Reno,09-2020,3.924261083,412.3147,472
Reno,09-2021,3.906308557,387.6746,494
Reno,10-2019,3.883691845,428.4862,531
Reno,10-2020,3.905012376,412.1671,477
Reno,10-2021,3.893564356,389.2599,495
Reno,11-2019,3.871673565,424.2147,504
Reno,11-2020,3.875,387.5655,459
Reno,11-2021,3.93366398,367.3236,494
Reno,12-2019,3.810619469,432.4425,514
Reno,12-2020,3.896539293,373.695,474
Reno,12-2021,3.932517263,364.2222,492
